date,bag,sample,type,hardening,temperature,0,1,2,3,4
20240812,36,22,sample,control,42C,29757,74396,83915,88289,92939
20240812,36,23,sample,control,42C,28593,89857,103291,118440,132686
20240812,36,24,sample,control,42C,29259,99687,127019,148426,161385
20240812,36,25,sample,control,42C,28815,36962,42228,44765,62667
20240812,36,B4,blank,control,42C,28988,29496,30571,31129,30797
20240812,36,B2,blank,control,18C,28559,28626,29308,30313,29788
20240812,36,6,sample,control,18C,29408,42355,65915,90665,113285
20240812,36,7,sample,control,18C,28312,29623,36857,37734,43890
20240812,36,8,sample,control,18C,29444,43794,71996,113264,140409
20240812,36,9,sample,control,18C,30094,52269,93820,141558,183521
20240812,36,10,sample,control,18C,29585,37110,70109,118749,164054
20240812,36,26,sample,control,42C,29312,41926,51222,63375,73149
20240812,36,27,sample,control,42C,29907,129109,140262,151235,155510
20240812,36,28,sample,control,42C,29407,73604,103119,120788,143576
20240812,36,29,sample,control,42C,30203,39757,78321,83979,88351
20240812,36,30,sample,control,42C,30524,38361,53891,60434,66141
20240812,36,B5,blank,control,42C,28135,28123,29108,29657,29593
20240812,36,B3,blank,control,18C,29558,29168,29665,31170,30090
20240812,36,11,sample,control,18C,29754,49779,90372,101311,111532
20240812,36,12,sample,control,18C,29726,40927,46160,55640,69913
20240812,36,13,sample,control,18C,29859,50666,83397,114202,154616
20240812,36,14,sample,control,18C,30127,42943,45785,53174,67357
20240812,36,15,sample,control,18C,30357,35944,40362,50672,50689
20240812,36,31,sample,control,42C,29922,41526,47964,77777,86246
20240812,36,32,sample,control,42C,30494,44121,51299,58031,66017
20240812,36,33,sample,control,42C,29830,69204,80529,94314,100559
20240812,36,34,sample,control,42C,29936,69891,84043,94665,101353
20240812,36,35,sample,control,42C,29427,50600,70658,86290,94121
20240812,36,B6,blank,control,42C,29724,29663,30309,30305,30373
20240812,36,16,sample,control,18C,29605,36147,41270,49334,54101
20240812,36,17,sample,control,18C,30058,34166,36084,40728,45321
20240812,36,18,sample,control,18C,29620,36636,40668,48765,51426
20240812,36,19,sample,control,18C,29537,50632,92604,146403,196162
20240812,36,20,sample,control,18C,29780,58613,108790,169993,220540
20240812,36,36,sample,control,42C,30392,110785,142267,174244,190591
20240812,36,37,sample,control,42C,30486,115250,141413,171248,188374
20240812,36,38,sample,control,42C,30364,40821,77474,90808,103703
20240812,36,39,sample,control,42C,30177,64057,80435,94729,102840
20240812,36,40,sample,control,42C,30027,61592,71524,79873,86765
