date,bag,sample,width.mm,length.mm,notes
20240813,49,23,16.289,22.347,
20240813,49,24,16.919,19.321,
20240813,49,25,15.234,22.163,
20240813,49,26,18.469,25.175,
20240813,49,27,15.719,26.559,
20240813,49,28,18.081,24.414,
20240813,49,29,17.594,30.862,
20240813,49,30,17.76,21.061,
20240813,49,31,18.34,23.599,
20240813,49,32,16.674,22.308,
20240813,49,33,16.053,25.299,
20240813,49,34,15.311,30.152,
20240813,49,35,15.13,29.837,
20240813,49,36,16.953,21.54,
20240813,49,37,16.143,23.077,
20240813,49,38,17.318,26.038,
20240813,49,39,16.07,28.994,
20240813,49,40,18.654,27.848,
20240815,76,1,16.553,21.008,
20240815,76,2,17.201,28.18,
20240815,76,3,10.415,23.096,
20240815,76,4,18.713,21.548,
20240815,76,5,15.359,20.237,
20240815,76,6,16.683,25.938,
20240815,76,7,17.113,20.831,
20240815,76,8,14.003,22.167,
20240815,76,9,15.246,22.941,
20240815,76,10,20.242,29.113,
20240815,76,11,20.085,27.576,
20240815,76,12,17.612,21.924,
20240815,76,13,17.537,20.531,
20240815,76,14,16.136,21.675,
20240815,76,15,14.191,22.914,
20240815,76,16,13.401,32.708,
20240815,76,17,14.164,18.701,
20240815,76,18,12.786,24.08,
20240815,76,19,22.04,25.484,
20240815,76,20,23.322,27.043,
20240815,76,21,17.867,23.816,
20240815,76,22,18.516,28.252,
20240815,76,23,18.881,32.364,
20240815,76,24,18.735,21.945,
20240815,76,25,16.194,24.47,
20240815,76,26,15.74,25.098,
20240815,76,27,17.106,26.178,
20240815,76,28,18.185,26.305,
20240815,76,29,19.128,26.692,
20240815,76,30,20.024,28.192,
20240815,76,31,16.107,22.962,
20240815,76,32,14.443,23.284,
20240815,76,33,16.968,20.787,
20240815,76,34,19.203,29.268,
20240815,76,35,17.658,24.705,
20240815,76,36,16.283,22.602,
20240815,76,37,17.903,28.498,
20240815,76,38,20.368,20.796,
20240815,76,39,17.405,28.661,
20240815,76,40,23.733,29.447,
